Protein.Group	Protein.Names	Genes	First.Protein.Description	C:\Users\ntt12080.stu\Documents\proteomics\20260318_Trang_test\20260318_Trang_test\Trang_Blank_20ng_3-18-2026_Slot2-04_21527.d	C:\Users\ntt12080.stu\Documents\proteomics\20260318_Trang_test\20260318_Trang_test\Trang_Crop_100ng_3-18-2026_Slot2-01_21523.d	C:\Users\ntt12080.stu\Documents\proteomics\20260318_Trang_test\20260318_Trang_test\Trang_Hind_100ng_3-18-2026_Slot2-03_21525.d	C:\Users\ntt12080.stu\Documents\proteomics\20260318_Trang_test\20260318_Trang_test\Trang_Mid_100ng_3-18-2026_Slot2-02_21524.d
A0A7M7SS20	A0A7M7SS20_APIME	LOC726834	Mitochondrial inner membrane protease ATP23 homolog		31410.4	30459.4	28301.3
A0A7M7SS21	A0A7M7SS21_APIME	LOC725395	Bifunctional glutamate/proline--tRNA ligase		122945	97932.1	70873.4
A0A7M7SS37	A0A7M7SS37_APIME	LOC408625	Nuclear pore complex protein Nup85		9728.77	19727.5	20029.6
A0A7M7SS48	A0A7M7SS48_APIME	552086	Aldose 1-epimerase		40405.5	28372.4	34221.3
A0A7M7SS54	A0A7M7SS54_APIME	LOC726944	ATP-binding cassette sub-family G member 4 isoform X1			14938.8	19530.6
A0A7M7SS59	A0A7M7SS59_APIME	551447	Mannose-6-phosphate isomerase				41558.3
A0A7M7SS79	A0A7M7SS79_APIME	LOC102656618	Uncharacterized protein LOC102656618		25548	25421.8	4477.07
A0A7M7SS83	A0A7M7SS83_APIME	LOC552435	alpha-1,2-Mannosidase		37833.4	38805.5	70927.9
A0A7M7SS86	A0A7M7SS86_APIME	LOC409193	non-specific serine/threonine protein kinase		14809.7	15673.5	
A0A7M7SS95	A0A7M7SS95_APIME	LOC724792	Testin isoform X1		21870.7	15248.6	7497.3
A0A7M7SSA8	A0A7M7SSA8_APIME	LOC113219404	Leucine-rich repeat-containing protein DDB_G0290503		35972.5	37377.3	
A0A7M7SSB3	A0A7M7SSB3_APIME	LOC727331	Sorting nexin-25			3096	28635.6
A0A7M7SSF6	A0A7M7SSF6_APIME	LOC727460	FERM domain-containing protein 5 isoform X1		997.647	5828.13	
A0A7M7TEQ7	A0A7M7TEQ7_APIME	LOC408304	Nuclear migration protein nudC		128378	84784.2	83042.2
A0A7M7TER2	A0A7M7TER2_APIME	408368	Adenosylhomocysteinase		45392.7	65921	85052.6
A0A7M7TER4	A0A7M7TER4_APIME	LOC408401	Protein brunelleschi			4677.08	12356.6
A0A7M7TER6	A0A7M7TER6_APIME	408433	UBX domain-containing protein 4		123223	119866	38998.6
A0A7M7TES4	A0A7M7TES4_APIME	408564	Very long-chain fatty acid transport protein		20384	34753	178546
A0A7M7TET3	A0A7M7TET3_APIME	408701	Protein phosphatase 1H		10975.7	11174.4	12844.4
A0A7M7TET7	A0A7M7TET7_APIME	408301	Phosphatidylinositol-4,5-bisphosphate 4-phosphatase		18788.3	36503.3	73218.2
A0A7M7TET8	A0A7M7TET8_APIME	408788	UDP-glucuronosyltransferase 1-3		12225.4	145637	441769
A0A7M7TET9	A0A7M7TET9_APIME	408836	Unc-112-related protein		64967.3	35267.7	82378.4
A0A7M7TEU2	A0A7M7TEU2_APIME	408859	Pyrroline-5-carboxylate reductase		6028.36	111727	324323
A0A7M7TEU3	A0A7M7TEU3_APIME	408395	Carboxylic ester hydrolase		127360	12325.6	
A0A7M7TEU6	A0A7M7TEU6_APIME	408431	LIM domain-containing protein jub		14777.7	14039.6	
A0A7M7TEU7	A0A7M7TEU7_APIME	408969	N-acyl-aliphatic-L-amino acid amidohydrolase		153457	164873	405122
A0A7M7TEV2	A0A7M7TEV2_APIME	408532	Calponin	1.37071e+06	3.59518e+06	2.33525e+06	432778
A0A7M7TEV3	A0A7M7TEV3_APIME	409077	Aminopeptidase N		13175.5		
A0A7M7TEV4	A0A7M7TEV4_APIME	LOC408559	Retinal dehydrogenase 1	1.04336e+06	578565	634798	1.4189e+06
A0A7M7TEV7	A0A7M7TEV7_APIME	408620	RNA-binding protein 42		15229.5	21704	13473.7
A0A7M7TEV9	A0A7M7TEV9_APIME	409157	Succinyl-CoA:3-ketoacid-coenzyme A transferase		58617.2	107176	182468
A0A7M7TEW4	A0A7M7TEW4_APIME	LOC408724	Uncharacterized protein LOC408724		54076.2	40678.7	
A0A7M7TEW5	A0A7M7TEW5_APIME	409251	BRCA1-associated protein isoform X1		14895.3	11449.4	10148.4
A0A7M7TEW6	A0A7M7TEW6_APIME	408782	Tubulin beta chain	3.05715e+06	4.19217e+06	2.97254e+06	1.08743e+06
A0A7M7TEW7	A0A7M7TEW7_APIME	409279	Cullin-4A		14642	16243.5	15864.6
A0A7M7TEX3	A0A7M7TEX3_APIME	409390	cAMP-dependent protein kinase type II regulatory subunit		477244	263434	138381
A0A7M7TEY1	A0A7M7TEY1_APIME	409543	Importin subunit alpha		38648.5	38069.2	15309.3
A0A7M7TEY3	A0A7M7TEY3_APIME	409066	pyridoxal 5'-phosphate synthase		36072.1	70775.9	93111.1
A0A7M7TEY7	A0A7M7TEY7_APIME	LOC409129	Small ribosomal subunit protein uS10m		29166.3	59351.7	82584.3
A0A7M7TEZ1	A0A7M7TEZ1_APIME	409178	ATP-dependent zinc metalloprotease YME1 homolog isoform X1		21667.6	47474.2	68548.2
A0A7M7TEZ2	A0A7M7TEZ2_APIME	409739	Motile sperm domain-containing protein 2		63127.7	83757.2	60901.2
A0A7M7TEZ4	A0A7M7TEZ4_APIME	LOC409776	Bromodomain-containing protein 4		28583.7	8174.6	
A0A7M7TEZ6	A0A7M7TEZ6_APIME	LOC409246	non-specific serine/threonine protein kinase		45262.4	44462.7	12007.7
A0A7M7TF00	A0A7M7TF00_APIME	409308	Small ubiquitin-related modifier		181378	220907	83859.4
A0A7M7TF02	A0A7M7TF02_APIME	LOC409347	U4/U6.U5 tri-snRNP-associated protein 1		14527.7	21906.9	
A0A7M7TF03	A0A7M7TF03_APIME	409930	ATP synthase subunit f, mitochondrial	327802	116863	399889	351002
A0A7M7TF04	A0A7M7TF04_APIME	409387	Ubiquitin carboxyl-terminal hydrolase		46641.8	54208.5	46459.4
A0A7M7TF05	A0A7M7TF05_APIME	409976	Transmembrane emp24 domain-containing protein 5		27915.5	30914.8	65717.8
A0A7M7TF08	A0A7M7TF08_APIME	409485	Cytoplasmic aconitate hydratase		334841	232869	152948
A0A7M7TF09	A0A7M7TF09_APIME	LOC410042	Glyoxylate reductase/hydroxypyruvate reductase		7563.14	13037.7	49127.9
A0A7M7TF15	A0A7M7TF15_APIME	409571	Golgi reassembly-stacking protein 2		10160.8	25076	39800.3
A0A7M7TF18	A0A7M7TF18_APIME	410219	Pre-mRNA 3'-end-processing factor FIP1		42819.6	50789.7	
A0A7M7TF20	A0A7M7TF20_APIME	410254	glutaryl-CoA dehydrogenase (ETF)			19834.7	70881.6
A0A7M7TF22	A0A7M7TF22_APIME	LOC410295	Queuine tRNA-ribosyltransferase accessory subunit 2		3384.59	3497.09	3986.3
A0A7M7TF23	A0A7M7TF23_APIME	LOC409704	Poly(A) polymerase		20913.8	13813.3	27544.9
A0A7M7TF26	A0A7M7TF26_APIME	410355	Translation initiation factor eIF2B subunit beta		10393.9	15320.3	14830.2
A0A7M7TF27	A0A7M7TF27_APIME	409773	S-(hydroxymethyl)glutathione dehydrogenase		33156.3	45297	66293.9
A0A7M7TF28	A0A7M7TF28_APIME	410390	Cleavage stimulation factor subunit 3		13667.8	12728.2	13504.9
A0A7M7TF29	A0A7M7TF29_APIME	LOC409802	Proteasome subunit alpha type		62888	35944.8	213307
A0A7M7TF32	A0A7M7TF32_APIME	LOC410482	Adenylosuccinate lyase		56635	64228.2	56744.9
A0A7M7TF33	A0A7M7TF33_APIME	409863	Ras-related protein Rab-21		7131.05	7315.18	12661.6
A0A7M7TF34	A0A7M7TF34_APIME	LOC410516	Cytosolic Fe-S cluster assembly factor NUBP2 homolog		58774.8	54999.2	26976.9
A0A7M7TF35	A0A7M7TF35_APIME	409899	Sodium-dependent multivitamin transporter				43245.6
A0A7M7TF36	A0A7M7TF36_APIME	410539	5'-nucleotidase			153993	314300
